State/UT,2014,2015,2016,2017,2018(Provisional)
Andhra Pradesh,1359,817,960,1162,622
Arunanchal Pradesh,0,35,239,133,507
Assam,0,0,40,41,3
Bihar,0,3,566,1251,156
Chhattisgarh,,,0,0,0
Goa,1205,561,337,509,455
Gujarat,574,406,3285,7953,10601
Haryana,3,1,5394,220,62
Himachal Pradesh,,,0,0,0
Jammu & Kashmir,,0,1,0,1
Jharkhand,11,21,47,269,3405
Karnataka,6962,20763,15666,32831,20411
Kerala,272,175,129,78,77
Madhya Pradesh,161,67,2280,2477,3211
Maharashtra,1572,391,7570,8110,9884
Manipur,0,0,0,0,2
Meghalaya,0,78,360,236,44
Mizoram,,,0,0,93
Nagaland,,,0,0,0
Odisha,10,81,51,0,0
Punjab,2,180,4407,3251,736
Rajasthan,50,7,2506,1612,254
Sikkim,,,30,130,384
Tamil Nadu,543,329,86,131,284
Telangana,1687,2067,611,1277,1954
Tripura,34,180,311,574,683
Uttarakhand,0,0,35,0,29
Uttar Pradesh,4,0,2458,103,58
West Bengal,1032,1013,1071,2103,52
Andaman & Nicobar Island,161,68,18,93,205
Chandigarh,0,1,2857,1810,357
Dadara & Nagar Havelli,0,0,0,0,0
Daman & Diu,0,0,0,0,0
NCT of Delhi,8,64,12279,940,407
Lakshadweep,0,0,0,0,0
Puducherry,399,245,463,475,2876
